iter	Passed	Remaining
0	1	127
1	2	116
2	3	112
3	4	110
4	5	108
5	6	105
6	7	103
7	8	103
8	10	102
9	11	101
10	12	99
11	13	98
12	14	96
13	15	94
14	16	93
15	17	91
16	18	90
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	25	84
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	62
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	51	55
48	51	53
49	52	52
50	53	51
51	55	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	60	43
58	61	42
59	62	41
60	63	40
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
